run	sample	donor_bp_bin	reads	detected	recall	ci_low	ci_high
.	pair1_phylum_rep2	1-199	5	0	0.0	0.0	0.43449149475208104
.	pair1_phylum_rep2	200-499	3	0	0.0	0.0	0.5615060804490177
.	pair1_phylum_rep2	500-999	60	0	0.0	0.0	0.06017393047793289
.	pair1_phylum_rep2	1000-1999	49	15	0.30612244897959184	0.1951532349314748	0.4452815740069374
.	pair1_phylum_rep2	>=2000	167	167	1.0	0.977513673484678	0.9999999999999999
.	pair1_phylum_rep3	1-199	0	0	nan	nan	nan
.	pair1_phylum_rep3	200-499	7	0	0.0	0.0	0.35433884297520657
.	pair1_phylum_rep3	500-999	57	0	0.0	0.0	0.06314100878346394
.	pair1_phylum_rep3	1000-1999	71	29	0.4084507042253521	0.30168552002378446	0.5246142918455503
.	pair1_phylum_rep3	>=2000	138	138	1.0	0.9729162671599869	1.0
.	pair1_phylum_rep4	1-199	7	0	0.0	0.0	0.35433884297520657
.	pair1_phylum_rep4	200-499	1	0	0.0	0.0	0.7934567085261071
.	pair1_phylum_rep4	500-999	57	0	0.0	0.0	0.06314100878346394
.	pair1_phylum_rep4	1000-1999	54	16	0.2962962962962963	0.19137265695067046	0.42827825173788586
.	pair1_phylum_rep4	>=2000	162	162	1.0	0.976835727585841	1.0
.	pair1_phylum_rep5	1-199	8	0	0.0	0.0	0.3244156195108769
.	pair1_phylum_rep5	200-499	10	0	0.0	0.0	0.2775401687666166
.	pair1_phylum_rep5	500-999	52	0	0.0	0.0	0.06879459041288215
.	pair1_phylum_rep5	1000-1999	63	23	0.36507936507936506	0.25715218473434465	0.4885151840898606
.	pair1_phylum_rep5	>=2000	135	135	1.0	0.9723310592790634	1.0
.	pair1_phylum_rep6	1-199	2	0	0.0	0.0	0.6576280471103807
.	pair1_phylum_rep6	200-499	12	0	0.0	0.0	0.2425007574992425
.	pair1_phylum_rep6	500-999	65	0	0.0	0.0	0.055803467670710726
.	pair1_phylum_rep6	1000-1999	59	16	0.2711864406779661	0.17436824992508337	0.39598005438289097
.	pair1_phylum_rep6	>=2000	163	163	1.0	0.9769745674939582	0.9999999999999999
.	pair2_family_rep1	1-199	1	0	0.0	0.0	0.7934567085261071
.	pair2_family_rep1	200-499	6	0	0.0	0.0	0.3903430336530645
.	pair2_family_rep1	500-999	53	0	0.0	0.0	0.06758430445307662
.	pair2_family_rep1	1000-1999	55	14	0.2545454545454545	0.1581197275732498	0.3830212339233784
.	pair2_family_rep1	>=2000	155	155	1.0	0.9758148998750957	1.0
.	pair2_family_rep2	1-199	6	0	0.0	0.0	0.3903430336530645
.	pair2_family_rep2	200-499	12	0	0.0	0.0	0.2425007574992425
.	pair2_family_rep2	500-999	56	0	0.0	0.0	0.06419614448811528
.	pair2_family_rep2	1000-1999	68	15	0.22058823529411764	0.1384889157967965	0.3325696352377016
.	pair2_family_rep2	>=2000	165	165	1.0	0.9772473134582946	1.0
.	pair2_family_rep3	1-199	2	0	0.0	0.0	0.6576280471103807
.	pair2_family_rep3	200-499	7	0	0.0	0.0	0.35433884297520657
.	pair2_family_rep3	500-999	70	0	0.0	0.0	0.05202487486728348
.	pair2_family_rep3	1000-1999	75	25	0.3333333333333333	0.23708065705320355	0.445827858248363
.	pair2_family_rep3	>=2000	179	179	1.0	0.9789894641044491	1.0
.	pair2_family_rep4	1-199	5	0	0.0	0.0	0.43449149475208104
.	pair2_family_rep4	200-499	9	0	0.0	0.0	0.2991527535509594
.	pair2_family_rep4	500-999	61	0	0.0	0.0	0.05924591620194442
.	pair2_family_rep4	1000-1999	46	12	0.2608695652173913	0.15600735194449333	0.402594298082793
.	pair2_family_rep4	>=2000	166	166	1.0	0.9773812776139649	0.9999999999999999
.	pair2_family_rep5	1-199	2	0	0.0	0.0	0.6576280471103807
.	pair2_family_rep5	200-499	8	0	0.0	0.0	0.3244156195108769
.	pair2_family_rep5	500-999	60	0	0.0	0.0	0.06017393047793289
.	pair2_family_rep5	1000-1999	59	13	0.22033898305084745	0.13354072524323754	0.34132942446650893
.	pair2_family_rep5	>=2000	155	155	1.0	0.9758148998750957	1.0
.	pair3_genus_small_rep1	1-199	8	0	0.0	0.0	0.3244156195108769
.	pair3_genus_small_rep1	200-499	8	0	0.0	0.0	0.3244156195108769
.	pair3_genus_small_rep1	500-999	66	0	0.0	0.0	0.05500446725160935
.	pair3_genus_small_rep1	1000-1999	67	21	0.31343283582089554	0.2150519322660779	0.4320480767681618
.	pair3_genus_small_rep1	>=2000	147	147	1.0	0.9745322245322244	0.9999999999999999
.	pair3_genus_small_rep2	1-199	11	0	0.0	2.7755575615628914e-17	0.2588400172488141
.	pair3_genus_small_rep2	200-499	12	0	0.0	0.0	0.2425007574992425
.	pair3_genus_small_rep2	500-999	50	0	0.0	0.0	0.07135003417431873
.	pair3_genus_small_rep2	1000-1999	64	16	0.25	0.16014791974174092	0.36816509174383727
.	pair3_genus_small_rep2	>=2000	145	145	1.0	0.9741900113946637	0.9999999999999999
.	pair3_genus_small_rep3	1-199	7	0	0.0	0.0	0.35433884297520657
.	pair3_genus_small_rep3	200-499	4	0	0.0	0.0	0.48990002040399916
.	pair3_genus_small_rep3	500-999	58	0	0.0	0.0	0.062119996895293766
.	pair3_genus_small_rep3	1000-1999	63	15	0.23809523809523808	0.14993653261946965	0.35635894803928175
.	pair3_genus_small_rep3	>=2000	162	162	1.0	0.976835727585841	1.0
.	pair3_genus_small_rep4	1-199	3	0	0.0	0.0	0.5615060804490177
.	pair3_genus_small_rep4	200-499	11	0	0.0	2.7755575615628914e-17	0.2588400172488141
.	pair3_genus_small_rep4	500-999	64	0	0.0	0.0	0.056626022971156334
.	pair3_genus_small_rep4	1000-1999	60	16	0.26666666666666666	0.17132496487078852	0.3900895360189135
