arm	run	sample	event_id	insert_len	reads_available	reads_detected	read_recall_pct	detected
panel	results.primary.limref	pair4_genus_large_rep2	pair4_genus_large_rep2_e1	500	44	0	0.0	no
panel	results.primary.limref	pair4_genus_large_rep2	pair4_genus_large_rep2_e2	1000	57	4	7.02	yes
panel	results.primary.limref	pair4_genus_large_rep2	pair4_genus_large_rep2_e3	2000	56	49	87.5	yes
panel	results.primary.limref	pair4_genus_large_rep2	pair4_genus_large_rep2_e4	4000	60	58	96.67	yes
panel	results.primary.limref	pair4_genus_large_rep2	pair4_genus_large_rep2_e5	8000	75	67	89.33	yes
panel	results.primary.limref	pair3_genus_small_rep2	pair3_genus_small_rep2_e1	500	43	0	0.0	no
panel	results.primary.limref	pair3_genus_small_rep2	pair3_genus_small_rep2_e2	1000	57	6	10.53	yes
panel	results.primary.limref	pair3_genus_small_rep2	pair3_genus_small_rep2_e3	2000	46	36	78.26	yes
panel	results.primary.limref	pair3_genus_small_rep2	pair3_genus_small_rep2_e4	4000	63	54	85.71	yes
panel	results.primary.limref	pair3_genus_small_rep2	pair3_genus_small_rep2_e5	8000	73	65	89.04	yes
panel	results.primary.limref	pair2_family_rep2	pair2_family_rep2_e1	500	48	0	0.0	no
panel	results.primary.limref	pair2_family_rep2	pair2_family_rep2_e2	1000	60	1	1.67	yes
panel	results.primary.limref	pair2_family_rep2	pair2_family_rep2_e3	2000	56	45	80.36	yes
panel	results.primary.limref	pair2_family_rep2	pair2_family_rep2_e4	4000	59	52	88.14	yes
panel	results.primary.limref	pair2_family_rep2	pair2_family_rep2_e5	8000	84	82	97.62	yes
panel	results.primary.limref	pair1_phylum_rep3	pair1_phylum_rep3_e1	500	46	0	0.0	no
panel	results.primary.limref	pair1_phylum_rep3	pair1_phylum_rep3_e2	1000	54	7	12.96	yes
panel	results.primary.limref	pair1_phylum_rep3	pair1_phylum_rep3_e3	2000	58	52	89.66	yes
panel	results.primary.limref	pair1_phylum_rep3	pair1_phylum_rep3_e4	4000	51	48	94.12	yes
panel	results.primary.limref	pair1_phylum_rep3	pair1_phylum_rep3_e5	8000	64	60	93.75	yes
panel	results.primary.limref	pair1_phylum_rep2	pair1_phylum_rep2_e1	500	51	0	0.0	no
panel	results.primary.limref	pair1_phylum_rep2	pair1_phylum_rep2_e2	1000	43	4	9.3	yes
panel	results.primary.limref	pair1_phylum_rep2	pair1_phylum_rep2_e3	2000	59	56	94.92	yes
panel	results.primary.limref	pair1_phylum_rep2	pair1_phylum_rep2_e4	4000	62	58	93.55	yes
panel	results.primary.limref	pair1_phylum_rep2	pair1_phylum_rep2_e5	8000	69	64	92.75	yes
panel	results.primary.limref	pair4_genus_large_rep1	pair4_genus_large_rep1_e1	500	52	0	0.0	no
panel	results.primary.limref	pair4_genus_large_rep1	pair4_genus_large_rep1_e2	1000	59	3	5.08	yes
panel	results.primary.limref	pair4_genus_large_rep1	pair4_genus_large_rep1_e3	2000	55	50	90.91	yes
panel	results.primary.limref	pair4_genus_large_rep1	pair4_genus_large_rep1_e4	4000	54	49	90.74	yes
panel	results.primary.limref	pair4_genus_large_rep1	pair4_genus_large_rep1_e5	8000	71	64	90.14	yes
panel	results.primary.limref	pair3_genus_small_rep1	pair3_genus_small_rep1_e1	500	57	0	0.0	no
panel	results.primary.limref	pair3_genus_small_rep1	pair3_genus_small_rep1_e2	1000	61	6	9.84	yes
panel	results.primary.limref	pair3_genus_small_rep1	pair3_genus_small_rep1_e3	2000	59	53	89.83	yes
panel	results.primary.limref	pair3_genus_small_rep1	pair3_genus_small_rep1_e4	4000	55	49	89.09	yes
panel	results.primary.limref	pair3_genus_small_rep1	pair3_genus_small_rep1_e5	8000	64	60	93.75	yes
panel	results.primary.limref	pair2_family_rep1	pair2_family_rep1_e1	500	51	0	0.0	no
panel	results.primary.limref	pair2_family_rep1	pair2_family_rep1_e2	1000	44	1	2.27	yes
panel	results.primary.limref	pair2_family_rep1	pair2_family_rep1_e3	2000	33	32	96.97	yes
panel	results.primary.limref	pair2_family_rep1	pair2_family_rep1_e4	4000	58	56	96.55	yes
panel	results.primary.limref	pair2_family_rep1	pair2_family_rep1_e5	8000	84	80	95.24	yes
