arm	run	sample	event_id	insert_len	reads_available	reads_detected	read_recall_pct	detected
panel	results.primary.panel	pair4_genus_large_rep5	pair4_genus_large_rep5_e1	500	52	0	0.0	no
panel	results.primary.panel	pair4_genus_large_rep5	pair4_genus_large_rep5_e2	1000	50	3	6.0	yes
panel	results.primary.panel	pair4_genus_large_rep5	pair4_genus_large_rep5_e3	2000	55	52	94.55	yes
panel	results.primary.panel	pair4_genus_large_rep5	pair4_genus_large_rep5_e4	4000	61	57	93.44	yes
panel	results.primary.panel	pair4_genus_large_rep5	pair4_genus_large_rep5_e5	8000	61	55	90.16	yes
panel	results.primary.panel	pair4_genus_large_rep4	pair4_genus_large_rep4_e1	500	50	0	0.0	no
panel	results.primary.panel	pair4_genus_large_rep4	pair4_genus_large_rep4_e2	1000	61	5	8.2	yes
panel	results.primary.panel	pair4_genus_large_rep4	pair4_genus_large_rep4_e3	2000	50	46	92.0	yes
panel	results.primary.panel	pair4_genus_large_rep4	pair4_genus_large_rep4_e4	4000	63	57	90.48	yes
panel	results.primary.panel	pair4_genus_large_rep4	pair4_genus_large_rep4_e5	8000	86	82	95.35	yes
panel	results.primary.panel	pair4_genus_large_rep3	pair4_genus_large_rep3_e1	500	51	0	0.0	no
panel	results.primary.panel	pair4_genus_large_rep3	pair4_genus_large_rep3_e2	1000	47	1	2.13	yes
panel	results.primary.panel	pair4_genus_large_rep3	pair4_genus_large_rep3_e3	2000	54	50	92.59	yes
panel	results.primary.panel	pair4_genus_large_rep3	pair4_genus_large_rep3_e4	4000	62	59	95.16	yes
panel	results.primary.panel	pair4_genus_large_rep3	pair4_genus_large_rep3_e5	8000	66	63	95.45	yes
panel	results.primary.panel	pair4_genus_large_rep2	pair4_genus_large_rep2_e1	500	44	0	0.0	no
panel	results.primary.panel	pair4_genus_large_rep2	pair4_genus_large_rep2_e2	1000	57	4	7.02	yes
panel	results.primary.panel	pair4_genus_large_rep2	pair4_genus_large_rep2_e3	2000	56	49	87.5	yes
panel	results.primary.panel	pair4_genus_large_rep2	pair4_genus_large_rep2_e4	4000	60	58	96.67	yes
panel	results.primary.panel	pair4_genus_large_rep2	pair4_genus_large_rep2_e5	8000	75	67	89.33	yes
panel	results.primary.panel	pair4_genus_large_rep1	pair4_genus_large_rep1_e1	500	52	0	0.0	no
panel	results.primary.panel	pair4_genus_large_rep1	pair4_genus_large_rep1_e2	1000	59	3	5.08	yes
panel	results.primary.panel	pair4_genus_large_rep1	pair4_genus_large_rep1_e3	2000	55	50	90.91	yes
panel	results.primary.panel	pair4_genus_large_rep1	pair4_genus_large_rep1_e4	4000	54	49	90.74	yes
panel	results.primary.panel	pair4_genus_large_rep1	pair4_genus_large_rep1_e5	8000	71	64	90.14	yes
panel	results.primary.panel	pair3_genus_small_rep5	pair3_genus_small_rep5_e1	500	54	0	0.0	no
panel	results.primary.panel	pair3_genus_small_rep5	pair3_genus_small_rep5_e2	1000	49	3	6.12	yes
panel	results.primary.panel	pair3_genus_small_rep5	pair3_genus_small_rep5_e3	2000	65	57	87.69	yes
panel	results.primary.panel	pair3_genus_small_rep5	pair3_genus_small_rep5_e4	4000	57	56	98.25	yes
panel	results.primary.panel	pair3_genus_small_rep5	pair3_genus_small_rep5_e5	8000	80	69	86.25	yes
panel	results.primary.panel	pair3_genus_small_rep4	pair3_genus_small_rep4_e1	500	61	0	0.0	no
panel	results.primary.panel	pair3_genus_small_rep4	pair3_genus_small_rep4_e2	1000	51	2	3.92	yes
panel	results.primary.panel	pair3_genus_small_rep4	pair3_genus_small_rep4_e3	2000	59	53	89.83	yes
panel	results.primary.panel	pair3_genus_small_rep4	pair3_genus_small_rep4_e4	4000	41	36	87.8	yes
panel	results.primary.panel	pair3_genus_small_rep4	pair3_genus_small_rep4_e5	8000	64	63	98.44	yes
panel	results.primary.panel	pair3_genus_small_rep3	pair3_genus_small_rep3_e1	500	54	0	0.0	no
panel	results.primary.panel	pair3_genus_small_rep3	pair3_genus_small_rep3_e2	1000	52	1	1.92	yes
panel	results.primary.panel	pair3_genus_small_rep3	pair3_genus_small_rep3_e3	2000	53	49	92.45	yes
panel	results.primary.panel	pair3_genus_small_rep3	pair3_genus_small_rep3_e4	4000	61	57	93.44	yes
panel	results.primary.panel	pair3_genus_small_rep3	pair3_genus_small_rep3_e5	8000	74	70	94.59	yes
panel	results.primary.panel	pair3_genus_small_rep2	pair3_genus_small_rep2_e1	500	43	0	0.0	no
panel	results.primary.panel	pair3_genus_small_rep2	pair3_genus_small_rep2_e2	1000	57	6	10.53	yes
panel	results.primary.panel	pair3_genus_small_rep2	pair3_genus_small_rep2_e3	2000	46	36	78.26	yes
panel	results.primary.panel	pair3_genus_small_rep2	pair3_genus_small_rep2_e4	4000	63	54	85.71	yes
panel	results.primary.panel	pair3_genus_small_rep2	pair3_genus_small_rep2_e5	8000	73	65	89.04	yes
panel	results.primary.panel	pair3_genus_small_rep1	pair3_genus_small_rep1_e1	500	57	0	0.0	no
panel	results.primary.panel	pair3_genus_small_rep1	pair3_genus_small_rep1_e2	1000	61	6	9.84	yes
panel	results.primary.panel	pair3_genus_small_rep1	pair3_genus_small_rep1_e3	2000	59	53	89.83	yes
panel	results.primary.panel	pair3_genus_small_rep1	pair3_genus_small_rep1_e4	4000	55	49	89.09	yes
panel	results.primary.panel	pair3_genus_small_rep1	pair3_genus_small_rep1_e5	8000	64	60	93.75	yes
panel	results.primary.panel	pair2_family_rep5	pair2_family_rep5_e1	500	48	0	0.0	no
panel	results.primary.panel	pair2_family_rep5	pair2_family_rep5_e2	1000	52	3	5.77	yes
panel	results.primary.panel	pair2_family_rep5	pair2_family_rep5_e3	2000	52	44	84.62	yes
panel	results.primary.panel	pair2_family_rep5	pair2_family_rep5_e4	4000	68	60	88.24	yes
panel	results.primary.panel	pair2_family_rep5	pair2_family_rep5_e5	8000	64	61	95.31	yes
panel	results.primary.panel	pair2_family_rep4	pair2_family_rep4_e1	500	58	0	0.0	no
panel	results.primary.panel	pair2_family_rep4	pair2_family_rep4_e2	1000	39	2	5.13	yes
panel	results.primary.panel	pair2_family_rep4	pair2_family_rep4_e3	2000	63	60	95.24	yes
panel	results.primary.panel	pair2_family_rep4	pair2_family_rep4_e4	4000	64	56	87.5	yes
