arm	run	sample	event_id	insert_len	reads_available	reads_detected	read_recall_pct	detected
sweep	results.p1r2mmf65	pair1_phylum_rep2	pair1_phylum_rep2_e1	500	50	0	0.0	no
sweep	results.p1r2mmf65	pair1_phylum_rep2	pair1_phylum_rep2_e2	1000	42	0	0.0	no
sweep	results.p1r2mmf65	pair1_phylum_rep2	pair1_phylum_rep2_e3	2000	59	0	0.0	no
sweep	results.p1r2mmf65	pair1_phylum_rep2	pair1_phylum_rep2_e4	4000	61	0	0.0	no
sweep	results.p1r2mmf65	pair1_phylum_rep2	pair1_phylum_rep2_e5	8000	67	38	56.72	yes
sweep	results.p1r2mmf75	pair1_phylum_rep2	pair1_phylum_rep2_e1	500	50	0	0.0	no
sweep	results.p1r2mmf75	pair1_phylum_rep2	pair1_phylum_rep2_e2	1000	42	0	0.0	no
sweep	results.p1r2mmf75	pair1_phylum_rep2	pair1_phylum_rep2_e3	2000	59	0	0.0	no
sweep	results.p1r2mmf75	pair1_phylum_rep2	pair1_phylum_rep2_e4	4000	61	0	0.0	no
sweep	results.p1r2mmf75	pair1_phylum_rep2	pair1_phylum_rep2_e5	8000	67	50	74.63	yes
sweep	results.p1r2mmf85	pair1_phylum_rep2	pair1_phylum_rep2_e1	500	50	0	0.0	no
sweep	results.p1r2mmf85	pair1_phylum_rep2	pair1_phylum_rep2_e2	1000	42	0	0.0	no
sweep	results.p1r2mmf85	pair1_phylum_rep2	pair1_phylum_rep2_e3	2000	59	0	0.0	no
sweep	results.p1r2mmf85	pair1_phylum_rep2	pair1_phylum_rep2_e4	4000	61	47	77.05	yes
sweep	results.p1r2mmf85	pair1_phylum_rep2	pair1_phylum_rep2_e5	8000	67	60	89.55	yes
sweep	results.p1r2mmf95	pair1_phylum_rep2	pair1_phylum_rep2_e1	500	50	0	0.0	no
sweep	results.p1r2mmf95	pair1_phylum_rep2	pair1_phylum_rep2_e2	1000	42	4	9.52	yes
sweep	results.p1r2mmf95	pair1_phylum_rep2	pair1_phylum_rep2_e3	2000	59	56	94.92	yes
sweep	results.p1r2mmf95	pair1_phylum_rep2	pair1_phylum_rep2_e4	4000	61	58	95.08	yes
sweep	results.p1r2mmf95	pair1_phylum_rep2	pair1_phylum_rep2_e5	8000	67	64	95.52	yes
sweep	results.p2r1mmf65	pair2_family_rep1	pair2_family_rep1_e1	500	51	0	0.0	no
sweep	results.p2r1mmf65	pair2_family_rep1	pair2_family_rep1_e2	1000	44	0	0.0	no
sweep	results.p2r1mmf65	pair2_family_rep1	pair2_family_rep1_e3	2000	33	0	0.0	no
sweep	results.p2r1mmf65	pair2_family_rep1	pair2_family_rep1_e4	4000	58	0	0.0	no
sweep	results.p2r1mmf65	pair2_family_rep1	pair2_family_rep1_e5	8000	83	32	38.55	yes
sweep	results.p2r1mmf75	pair2_family_rep1	pair2_family_rep1_e1	500	51	0	0.0	no
sweep	results.p2r1mmf75	pair2_family_rep1	pair2_family_rep1_e2	1000	44	0	0.0	no
sweep	results.p2r1mmf75	pair2_family_rep1	pair2_family_rep1_e3	2000	33	0	0.0	no
sweep	results.p2r1mmf75	pair2_family_rep1	pair2_family_rep1_e4	4000	58	0	0.0	no
sweep	results.p2r1mmf75	pair2_family_rep1	pair2_family_rep1_e5	8000	83	55	66.27	yes
sweep	results.p2r1mmf85	pair2_family_rep1	pair2_family_rep1_e1	500	51	0	0.0	no
sweep	results.p2r1mmf85	pair2_family_rep1	pair2_family_rep1_e2	1000	44	0	0.0	no
sweep	results.p2r1mmf85	pair2_family_rep1	pair2_family_rep1_e3	2000	33	0	0.0	no
sweep	results.p2r1mmf85	pair2_family_rep1	pair2_family_rep1_e4	4000	58	50	86.21	yes
sweep	results.p2r1mmf85	pair2_family_rep1	pair2_family_rep1_e5	8000	83	69	83.13	yes
sweep	results.p2r1mmf95	pair2_family_rep1	pair2_family_rep1_e1	500	51	0	0.0	no
sweep	results.p2r1mmf95	pair2_family_rep1	pair2_family_rep1_e2	1000	44	1	2.27	no
sweep	results.p2r1mmf95	pair2_family_rep1	pair2_family_rep1_e3	2000	33	32	96.97	yes
sweep	results.p2r1mmf95	pair2_family_rep1	pair2_family_rep1_e4	4000	58	56	96.55	yes
sweep	results.p2r1mmf95	pair2_family_rep1	pair2_family_rep1_e5	8000	83	80	96.39	yes
sweep	results.p3r1.mmf65	pair3_genus_small_rep1	pair3_genus_small_rep1_e1	500	56	0	0.0	no
sweep	results.p3r1.mmf65	pair3_genus_small_rep1	pair3_genus_small_rep1_e2	1000	58	0	0.0	no
sweep	results.p3r1.mmf65	pair3_genus_small_rep1	pair3_genus_small_rep1_e3	2000	57	0	0.0	no
sweep	results.p3r1.mmf65	pair3_genus_small_rep1	pair3_genus_small_rep1_e4	4000	53	0	0.0	no
sweep	results.p3r1.mmf65	pair3_genus_small_rep1	pair3_genus_small_rep1_e5	8000	64	30	46.88	yes
sweep	results.p3r1.mmf75	pair3_genus_small_rep1	pair3_genus_small_rep1_e1	500	56	0	0.0	no
sweep	results.p3r1.mmf75	pair3_genus_small_rep1	pair3_genus_small_rep1_e2	1000	58	0	0.0	no
