genome_a	genome_b	len_a	len_b	shared_bp_a	shared_bp_b	pct_a	pct_b	mean_identity	n_blocks	max_block	n_ge500	n_ge1000	n_ge5000
CP059467.1	CR555306.1	4376837	4296230	220107	260577	5.0289	6.0652	0.9709	65	29698	59	45	13
CP012712.1	CP041632.1	3873116	3477599	68932	83438	1.7798	2.3993	0.978	45	9038	30	23	2
CP013107.1	CP024307.1	3764724	3967005	54991	47656	1.4607	1.2013	0.9598	14	29866	13	11	1
CP000302.1	CP000891.1	4545906	5347283	33616	42993	0.7395	0.804	0.9629	15	3012	15	15	0
CP023690.1	CP048641.1	9807160	9617533	31376	31227	0.3199	0.3247	0.9526	7	5650	7	7	5
CP037839.1	CP048838.1	4321901	4718906	28497	21516	0.6594	0.456	0.9711	10	12948	10	10	1
AP014956.1	CP032159.1	2479312	2515743	28340	23110	1.1431	0.9186	0.972	10	7869	8	8	2
CP032523.1	CP035034.1	5032769	4743568	27215	22962	0.5408	0.4841	0.9524	12	2921	11	11	0
CP024968.1	CP024969.1	800407	846907	26653	27392	3.3299	3.2344	0.9803	8	4970	8	7	0
CP015411.1	CP023558.1	4902887	3441076	17457	12716	0.3561	0.3695	0.9509	11	1588	11	11	0
CP032159.1	CP041722.1	2515743	2694981	16412	18101	0.6524	0.6717	0.9807	9	4015	7	7	0
CP000850.1	CP031263.1	5786361	7255264	15563	13851	0.269	0.1909	0.9524	7	3377	6	6	0
CP033049.1	CP047394.1	4063118	4556861	11688	16088	0.2877	0.3531	0.9548	8	1461	8	8	0
CP015442.1	CP023501.1	2124039	1947910	10065	10327	0.4739	0.5302	0.9748	3	6361	2	2	1
CP018835.1	CP073273.1	3471064	3237604	9294	14040	0.2678	0.4337	0.9548	6	1549	6	6	0
AP014956.1	CP041722.1	2479312	2694981	8897	12579	0.3588	0.4668	0.9653	8	3389	6	2	0
AP014956.1	LR215048.1	2479312	1883099	7038	7043	0.2839	0.374	0.9848	1	7038	1	1	1
CP008748.1	LR214938.2	863547	728347	4761	4765	0.5513	0.6542	0.9503	1	4761	1	1	0
CP018788.1	CP053831.1	1593985	1773478	4629	1543	0.2904	0.087	0.956	3	1543	3	3	0
CP003183.2	CP043481.1	2742670	2642352	4506	2996	0.1643	0.1134	0.9548	3	1502	3	3	0
CP025095.1	CP037839.1	2719245	4321901	4314	1112	0.1586	0.0257	0.9863	4	1124	4	3	0
CP043317.1	CP048641.1	8458055	9617533	2919	2918	0.0345	0.0303	0.9558	6	853	2	0	0
CP007574.1	CP043317.1	9360281	8458055	1907	1914	0.0204	0.0226	0.9541	2	1575	1	1	0
CP023690.1	CP043317.1	9807160	8458055	1840	1840	0.0188	0.0218	0.9549	4	603	2	0	0
AP022582.1	AP022610.1	5531300	5712088	1549	1538	0.028	0.0269	0.9556	1	1549	1	1	0
AP022610.1	LT906483.1	5712088	4950685	1542	1550	0.027	0.0313	0.9703	1	1542	1	1	0
AP022610.1	CP018363.1	5712088	5626623	1538	1552	0.0269	0.0276	0.9524	1	1538	1	1	0
AP014956.1	CP037839.1	2479312	4321901	1257	1257	0.0507	0.0291	1.0	1	1257	1	1	0
CP000117.1	CP051206.1	6365727	5151752	743	744	0.0117	0.0144	0.9556	1	743	1	0	0
CP007574.1	CP048641.1	9360281	9617533	576	576	0.0062	0.006	0.9531	1	576	1	0	0
CP020335.1	CP032523.1	5726282	5032769	367	366	0.0064	0.0073	0.9538	1	367	0	0	0
CP054038.1	CP058316.1	3908277	3350353	280	280	0.0072	0.0084	0.9607	1	280	0	0	0
